label,changeNum,attribute,methodDeclaration,methodRenaming,returnType,parameterDelete,parameterInsert,parameterRenaming,parameterTypeChange,containReturn,lineNumOfOldCode,lineNumOfOldComment,lineNumOfNewCode,TODOCount,FIXMECount,XXXCount,BUGCount,VERSIONCount,FIXEDCount,commentByCCSet,lineNumOfChanged,changedLineByAllCodeLine,ifInsert,ifUpdate,ifMove,ifDelete,forInsert,forUpdate,forMove,forDelete,foreachInsert,foreachUpdate,foreachMove,foreachDelete,whileInsert,whileUpdate,whileMove,whileDelete,catchInsert,catchUpdate,catchMove,catchDelete,tryInsert,tryUpdate,tryMove,tryDelete,throwInsert,throwUpdate,throwMove,throwDelete,methodInvInsert,methodInvUpdate,methodInvMove,methodInvDelete,assignInsert,assignUpdate,assignMove,assignDelete,varDecInsert,varDecUpdate,varDecMove,varDecDelete,elseInsert,elseUpdate,elseMove,elseDelete,NN,VB,DT,IN,JJ,RB,PRP,MD,LS,RP,NN.1,VB.1,DT.1,IN.1,JJ.1,RB.1,PRP.1,MD.1,LS.1,RP.1,bothHavePairNumChange,cmt2cd_sim_change,cmt2ch_sim,sim_change,all_token_change_sim
0,1,0,0,0,0,0,0,0,0,0,9,1,9,0,0,0,0,0,0,0.1,4,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00185,0.43381,0.185,0.0
1,1,0,0,0,0,0,0,0,1,0,1,5,1,0,0,0,0,0,0,0.83,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.26,0.16,0.05,0.05,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.01607,0.67738,1.607,9.22673
1,1,0,0,0,0,0,0,0,0,1,4,5,4,0,0,0,0,0,0,0.56,1,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.039,0.51207,3.9,78.95454
1,1,0,0,0,0,0,0,0,0,1,6,8,7,0,0,0,0,0,0,0.57,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.18,0.29,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.02,0.15,0.0,0.05,0.25,0.0,0.0,0.48,0.0,0.0,0,0.00244,0.38407,0.244,0.0
0,1,0,0,0,0,0,0,0,0,0,12,4,12,0,0,0,0,0,0,0.25,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.29,0.16,0.18,0.18,0.08,0.05,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.03313,0.47689,3.313,169.23351
0,1,0,0,0,0,0,0,0,0,1,25,1,25,0,0,0,0,0,0,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0.38,0.12,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00239,0.31443,0.239,0.0
1,1,0,0,1,0,0,0,0,0,0,17,4,17,0,0,0,0,0,0,0.19,24,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.15,0.08,0.23,0.08,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0061,0.34391,0.61,10.92807
0,1,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0.25,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.67,0.11,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,1.11,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00205,0.41937,0.205,3.13002
1,1,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0.2,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.0,0.0,0.29,0.14,0.14,0.0,0.0,0.0,0.0,1.15,0.6,0.0,0.0,0.6,0.05,0.0,0.0,0.0,0.0,0,0.00478,0.29874,0.478,0.73631
1,1,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0.2,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.0,0.14,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.01672,0.0,1.672,15.45082
1,1,0,0,0,0,0,0,0,0,1,4,5,4,0,0,0,0,0,0,0.56,1,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.22,0.11,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00274,0.51536,0.274,9.98276
1,1,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0.2,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.0,0.14,0.0,0.14,0.14,0.0,0.0,0.0,0.0,1.67,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.02037,0.0,2.037,17.69454
1,1,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0.2,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.0,0.17,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00757,0.0,0.757,16.20406
1,1,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0.2,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0.0,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.03301,0.0,3.301,25.18842
0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.5,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.24,0.12,0.06,0.0,0.06,0.12,0.12,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0.01268,0.34687,1.268,56.76073
0,1,0,0,0,0,0,0,0,0,1,37,1,36,0,0,0,0,0,0,0.03,23,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.14,0.14,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.15,0.0,0.04,0.09,0.0,0.0,0.0,0.0,0.0,0,0.00032,0.39869,0.032,3.28271
1,1,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0.2,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.0,0.14,0.0,0.29,0.14,0.0,0.0,0.0,0.0,2.38,1.9,0.0,0.0,2.86,1.43,0.0,0.0,0.0,0.0,2,0.15995,0.0,15.995,134.6332
1,1,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0.2,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.14,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.01137,0.0,1.137,14.82506
1,1,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0.2,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.0,0.17,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.42,3.33,0.0,0.0,2.5,1.25,0.0,0.0,0.0,0.0,1,0.05526,0.0,5.526,90.01282
0,1,0,0,0,0,0,0,0,0,1,26,3,27,0,0,0,0,0,0,0.1,6,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.0,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.0,0.05,0.02,0.05,0.0,0.0,0.0,0.0,0,0.00766,0.2935,0.766,0.0
0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0.33,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.12,0.0,0.25,0.12,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,6.67,5.0,0.0,0.0,0.0,0.0,0,0.00025,0.31734,0.025,0.39645
0,1,0,0,0,0,0,0,0,0,1,38,1,36,0,0,0,0,0,0,0.03,24,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.14,0.14,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.11,0.0,0.05,0.3,0.0,0.0,0.0,0.0,0.0,0,0.00333,0.40121,0.333,3.28271
1,1,0,0,0,0,0,0,0,0,0,12,5,12,0,0,0,0,0,0,0.29,11,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.09,0.27,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.05134,0.5953,5.134,78.30089
1,1,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0.2,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.12,0.12,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.01905,0.0,1.905,6.47644
0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0.33,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.22,0.33,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00512,0.35144,0.512,0.0
0,1,0,0,0,0,0,0,0,0,1,7,1,7,0,0,0,0,0,0,0.12,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.17,0.0,0.17,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.01023,0.41319,1.023,14.03459
0,1,0,0,0,0,0,0,0,0,1,7,3,7,0,0,0,0,0,0,0.3,2,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0,0.00107,0.17762,0.107,0.0
0,1,0,0,0,0,0,0,0,0,0,5,1,5,0,0,0,0,0,0,0.17,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.16452,0.0,0.0
1,1,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0.2,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.0,1.67,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00088,0.0,0.088,1.76718
